name,hex,r,g,b
Olive Drab #7,#3C341F,0.24,0.2,0.12
Olive green,#B5B35C,0.71,0.7,0.36
Olivine,#9AB973,0.6,0.73,0.45
Onyx,#353839,0.21,0.22,0.22
Opal,#A8C3BC,0.66,0.76,0.74
Opera mauve,#B784A7,0.72,0.52,0.65
Orange,#FF7F00,1.0,0.5,0.0
Orange (Crayola),#FF7538,1.0,0.46,0.22
Orange (Pantone),#FF5800,1.0,0.35,0.0
Orange (web),#FFA500,1.0,0.65,0.0
Orange peel,#FF9F00,1.0,0.62,0.0
Orange-red,#FF681F,1.0,0.41,0.12
Orange-red (Crayola),#FF5349,1.0,0.33,0.29
Orange soda,#FA5B3D,0.98,0.36,0.24
Orange-yellow,#F5BD1F,0.96,0.74,0.12
Orange-yellow (Crayola),#F8D568,0.97,0.84,0.41
Orchid,#DA70D6,0.85,0.44,0.84
Orchid pink,#F2BDCD,0.95,0.74,0.8
Orchid (Crayola),#E29CD2,0.89,0.61,0.82
Outer space (Crayola),#2D383A,0.18,0.22,0.23
Outrageous Orange,#FF6E4A,1.0,0.43,0.29
Oxblood,#4A0000,0.29,0.0,0.0
Oxford blue,#002147,0.0,0.13,0.28
OU Crimson red,#841617,0.52,0.09,0.09
Pacific blue,#1CA9C9,0.11,0.66,0.79
Pakistan green,#006600,0.0,0.4,0.0
Palatinate purple,#682860,0.41,0.16,0.38
Pale aqua,#BCD4E6,0.74,0.83,0.9
Pale cerulean,#9BC4E2,0.61,0.77,0.89
Pale Dogwood,#ED7A9B,0.93,0.48,0.61
